policyID,statecode,county,hu_site_limit,fl_site_limit,fr_site_limit,tiv_2012,hu_site_deductible,point_latitude,line,construction,point_granularity
119736,FL,CLAY COUNTY,498960,498960,498960,792148.9,9979.2,30.102261,Residential,Masonry,1
448094,FL,CLAY COUNTY,1322376.3,1322376.3,1322376.3,1438163.57,0,30.063936,Residential,Masonry,3
206893,FL,CLAY COUNTY,190724.4,190724.4,190724.4,192476.78,0,30.089579,Residential,Wood,1
333743,FL,CLAY COUNTY,79520.76,0,0,86854.48,0,30.063236,Residential,Wood,3
172534,FL,CLAY COUNTY,254281.5,0,254281.5,246144.49,0,30.060614,Residential,Wood,1
785275,FL,CLAY COUNTY,515035.62,0,0,884419.17,0,30.063236,Residential,Masonry,3
995932,FL,CLAY COUNTY,19260000,0,0,20610000,0,30.102226,Commercial,Reinforced Concrete,1
223488,FL,CLAY COUNTY,328500,328500,328500,348374.25,16425,30.102217,Residential,Wood,1
433512,FL,CLAY COUNTY,315000,315000,315000,265821.57,15750,30.118774,Residential,Wood,1
142071,FL,CLAY COUNTY,705600,705600,705600,1010842.56,35280,30.100628,Residential,Masonry,1
253816,FL,CLAY COUNTY,831498.3,831498.3,831498.3,1117791.48,0,30.10216,Residential,Masonry,1
894922,FL,CLAY COUNTY,24059.09,0,0,33952.19,0,30.095957,Residential,Wood,1
422834,FL,CLAY COUNTY,48115.94,0,0,66755.39,0,30.100073,Residential,Wood,1
582721,FL,CLAY COUNTY,28869.12,0,0,42826.99,0,30.09248,Residential,Wood,1
842700,FL,CLAY COUNTY,56135.64,0,0,50656.8,0,30.101356,Residential,Wood,1
874333,FL,CLAY COUNTY,48115.94,0,0,67905.07,0,30.113743,Residential,Wood,1
580146,FL,CLAY COUNTY,48115.94,0,0,66938.9,0,30.121655,Residential,Wood,3
456149,FL,CLAY COUNTY,80192.49,0,0,86421.04,0,30.109537,Residential,Wood,1
767862,FL,CLAY COUNTY,48115.94,0,0,73798.5,0,30.11824,Residential,Wood,3
353022,FL,CLAY COUNTY,60946.79,0,0,62467.29,0,30.065799,Residential,Wood,1
367814,FL,CLAY COUNTY,28869.12,0,0,42727.74,0,30.082993,Residential,Wood,1
671392,FL,CLAY COUNTY,13410000,0,0,11700000,0,30.091921,Commercial,Reinforced Concrete,3
772887,FL,CLAY COUNTY,1669113.93,0,0,2099127.76,0,30.117352,Residential,Masonry,1
983122,FL,CLAY COUNTY,179562.23,0,0,211372.57,0,30.095783,Residential,Wood,3
934215,FL,CLAY COUNTY,177744.16,0,0,157171.16,0,30.110518,Residential,Wood,1
385951,FL,CLAY COUNTY,17757.58,0,0,16948.72,0,30.10288,Residential,Wood,1
716332,FL,CLAY COUNTY,130129.87,0,0,101758.43,0,30.068468,Residential,Wood,1
751262,FL,CLAY COUNTY,42854.77,0,0,63592.88,0,30.068468,Residential,Wood,1
633663,FL,CLAY COUNTY,785.58,0,0,662.18,0,30.068468,Residential,Wood,1
105851,FL,CLAY COUNTY,170361.91,0,0,177176.38,0,30.068468,Residential,Wood,1
710400,FL,CLAY COUNTY,1430.89,0,0,1861.41,0,30.068468,Residential,Wood,1
703001,FL,CLAY COUNTY,129913.27,0,0,101692.86,0,30.079785,Residential,Wood,4
352792,FL,CLAY COUNTY,366285.62,0,0,507164.19,0,30.08012,Residential,Masonry,1
717603,FL,CLAY COUNTY,22512.61,0,0,28637.17,0,30.08012,Residential,Wood,1
937659,FL,SUWANNEE COUNTY,9246.6,0,9246.6,10880.22,0,29.959805,Residential,Wood,3
294022,FL,SUWANNEE COUNTY,96164.64,0,0,69357.78,0,29.959805,Residential,Wood,3
410500,FL,SUWANNEE COUNTY,11095.92,0,0,12737.89,0,29.959805,Residential,Wood,3
524433,FL,SUWANNEE COUNTY,218475,218475,218475,199030.29,4369.5,29.962601,Residential,Wood,3
779298,FL,SUWANNEE COUNTY,1400904,1400904,1400904,1772984.1,0,29.962601,Residential,Masonry,3
491831,FL,SUWANNEE COUNTY,4365,4365,4365,4438.05,87.3,29.962601,Residential,Wood,3
814637,FL,SUWANNEE COUNTY,4365,4365,4365,6095.72,87.3,29.962601,Residential,Wood,3
737515,FL,SUWANNEE COUNTY,39789,39789,39789,58106.58,0,29.962601,Residential,Wood,3
222653,FL,SUWANNEE COUNTY,24867,24867,24867,18969.79,0,29.962601,Residential,Wood,3
788543,FL,SUWANNEE COUNTY,213876,213876,213876,261435.18,0,29.962601,Residential,Wood,3
691681,FL,SUWANNEE COUNTY,69435,69435,69435,93674.34,1388.7,29.960735,Residential,Wood,3
368807,FL,SUWANNEE COUNTY,14922,14922,14922,12333.03,0,29.960735,Residential,Wood,3
174002,FL,SUWANNEE COUNTY,165546,165546,165546,239134.51,0,29.963396,Residential,Wood,1
198760,FL,SUWANNEE COUNTY,72837,72837,72837,86637.86,0,29.963396,Residential,Wood,1
831395,FL,SUWANNEE COUNTY,72837,72837,72837,98147.86,0,29.963396,Residential,Wood,1
305698,FL,SUWANNEE COUNTY,19440,19440,19440,30658.59,388.8,29.963396,Residential,Wood,1
515722,FL,SUWANNEE COUNTY,9945,9945,9945,11551.12,198.9,29.963396,Residential,Wood,1
415582,FL,SUWANNEE COUNTY,255878.61,0,0,345894.66,0,29.958415,Residential,Wood,3
783533,FL,SUWANNEE COUNTY,153527.17,0,0,138228.8,0,29.9696,Residential,Wood,4
640802,FL,SUWANNEE COUNTY,255878.61,0,0,177339.74,0,29.959404,Residential,Wood,1
403866,FL,SUWANNEE COUNTY,102351.45,0,0,95132.8,0,29.958904,Residential,Wood,3
828788,FL,SUWANNEE COUNTY,155489.66,0,0,145139.65,0,29.95822,Residential,Wood,1
751490,FL,SUWANNEE COUNTY,137233.8,0,0,114919.58,0,29.965832,Residential,Wood,4
972562,FL,SUWANNEE COUNTY,123596.05,0,0,183015.09,0,29.965721,Residential,Wood,4
367541,FL,SUWANNEE COUNTY,107111.11,0,0,88218.85,0,29.965717,Residential,Wood,4
481360,FL,SUWANNEE COUNTY,96309.32,0,0,85911,0,29.95775,Residential,Wood,3
920232,FL,NASSAU COUNTY,104031.7,0,0,168443.97,0,30.39431,Residential,Wood,1
727659,FL,NASSAU COUNTY,338944.5,338944.5,338944.5,485816.61,0,30.56267,Residential,Wood,1
471817,FL,NASSAU COUNTY,272349,272349,272349,414565.56,0,30.56267,Residential,Wood,1
983043,FL,NASSAU COUNTY,129690,129690,129690,129635.53,0,30.561651,Residential,Wood,1
578286,FL,NASSAU COUNTY,123210,123210,123210,120345.61,0,30.56267,Residential,Wood,1
347276,FL,NASSAU COUNTY,3698.64,0,0,3939.13,0,30.56106,Residential,Wood,3
